ID,Ag(wt%),Al(wt%),Be(wt%),Ce(wt%),Cr(wt%),Cu(wt%),Fe(wt%),Li(wt%),Mg(wt%),Mn(wt%),Ni(wt%),Re(wt%),Si(wt%),Sn(wt%),Ti(wt%),V(wt%),Zn(wt%),Zr(wt%),ST1,TIME1,ST2,TIME2,ST3,TIME3,Cold_Deformation_percent,First_Aging_Temp_C,First_Aging_Time_h,Second_Aging_Temp_C,Second_Aging_Time_h,Third_Aging_Temp_C,Third_Aging_Time_h,Processing_Description,UTS(MPa)
1,0.0,87.08,0.0,0.0,0.0,2.36,0.0,0.0,2.08,0.0,0.0,0.21,0.0,0.0,0.0,0.0,8.13,0.14,475,40,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 40.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,696.0
2,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 4.0 hours.,519.3
3,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,8.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 8.0 hours.,457.8
4,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,12.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 12.0 hours.,432.8
5,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 16.0 hours.,408.7
6,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,20.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 20.0 hours.,395.9
7,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 24.0 hours.,404.3
8,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,120,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 120.0℃ for 4.0 hours.,562.2
9,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,140,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 140.0℃ for 4.0 hours.,556.9
10,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,160,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 160.0℃ for 4.0 hours.,540.8
11,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 4.0 hours.,519.3
12,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,200,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 200.0℃ for 4.0 hours.,437.3
13,0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,220,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 220.0℃ for 4.0 hours.,364.7
14,0.0,88.8,0.0,0.0,0.0,2.3,0.0,0.0,2.2,0.1,0.0,0.0,0.0,0.0,0.05,0.0,6.5,0.05,485,50,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 485℃ for 50.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,622.0
15,0.0,87.87,0.0,0.0,0.15,1.6,0.12,0.0,2.2,0.1,0.0,0.0,0.1,0.0,0.06,0.0,7.8,0.0,460,24,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 460℃ for 24.0min.,586.23
16,0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,470,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,631.0
17,0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,440,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,616.0
18,0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,440,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,634.0
19,0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,440,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,635.0
20,0.29,94.136,0.0,0.0,0.0,4.774,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525,120,0,0,0,0,0.0,160,12.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 525℃ for 2h. the second heat treatment is Aging at 160.0℃ for 12.0 hours.,425.306
21,0.0,87.43,0.0,0.0,0.04,2.3,0.15,0.0,2.1,0.05,0.0,0.0,0.1,0.0,0.06,0.0,7.6,0.17,470,60,0,0,0,0,0.0,130,12.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 1h. the second heat treatment is Aging at 130.0℃ for 12.0 hours.,515.9
22,0.36,93.51,0.0,0.0,0.0,4.88,0.02,0.0,0.72,0.27,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.16,515,360,0,0,0,0,0.0,165,28.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 28.0 hours.,475.8
23,0.57,93.33,0.0,0.0,0.0,4.82,0.03,0.0,0.73,0.29,0.0,0.0,0.03,0.0,0.05,0.0,0.0,0.15,515,360,0,0,0,0,0.0,165,36.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 36.0 hours.,482.7
24,0.14,93.79,0.0,0.0,0.0,4.75,0.03,0.0,0.8,0.26,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.16,515,360,0,0,0,0,0.0,165,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 24.0 hours.,468.5
25,0.0,86.25,0.0,0.0,0.0,2.3,0.1,0.0,2.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,8.2,0.8,460,60,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 460℃ for 1h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,612.0
26,0.0,87.05,0.0,0.0,0.0,2.3,0.1,0.0,2.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,8.2,0.0,470,30,0,0,0,0,0.0,120,25.0,185,0.7,120,24.0,the first heat treatment is Solution treatment at 470℃ for 30.0min. the second heat treatment is Aging at 120.0℃ for 25.0 hours.,606.0
