ID,Al(wt%),Co(wt%),Cr(wt%),Fe(wt%),Ni(wt%),Mo(wt%),Cu(wt%),Temperature,Cl Concentration,PH,Ep(mV)
1,0.0,0.0,0.191700501,0.713951778,0.09434772,0.0,0.0,30,0.53,7,-50.0
2,0.0,0.0,0.194113763,0.692817031,0.095535436,0.01753377,0.0,30,0.53,7,200.0
3,0.0,0.0,0.268145994,0.639141355,0.052260633,0.01453254,0.025919478,30,0.53,7,850.0
4,0.0,0.0,0.268252065,0.639394181,0.052281305,0.014538289,0.025534159,30,0.53,7,80.0
5,0.0,0.0,0.30435084,0.646571877,0.024683695,0.024393588,0.0,60,0.546,7,1010.0
6,0.0,0.0,0.30435084,0.646571877,0.024683695,0.024393588,0.0,80,0.546,7,1010.0
7,0.0,0.0,0.30435084,0.646571877,0.024683695,0.024393588,0.0,100,0.546,7,493.0
8,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,3,230.52
9,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,4,332.48
10,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,5,342.67
11,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,7,370.4
12,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,9,361.39
13,0.200859712,0.20056065,0.200517234,0.200560641,0.0,0.0,0.197501763,25,0.6,7,-130.0
14,0.171273942,0.209106116,0.207379048,0.202280446,0.209960448,0.0,0.0,25,0.6,7,164.0
15,0.0,0.248667413,0.249323637,0.252325572,0.249683378,0.0,0.0,25,0.6,7,-8.0
16,0.0,0.236385029,0.270290227,0.246251127,0.247073617,0.0,0.0,25,0.6128,7,310.0
17,0.0,0.23480248,0.182818326,0.211429705,0.250404778,0.0,0.120544711,25,0.6128,7,90.0
18,0.0,0.212647897,0.182165481,0.196017095,0.216297382,0.0,0.192872145,25,0.6128,7,80.0
19,0.110159789,0.222453239,0.222529895,0.222399274,0.222457802,0.0,0.0,25,0.6128,7,130.0
20,0.0,0.248667413,0.249323637,0.252325572,0.249683378,0.0,0.0,25,0.1,7,805.0
21,0.0,0.0,0.15072627,0.0,0.817114,0.032159731,0.0,45,0.5,7,262.1
22,0.0,0.0,0.230054579,0.0,0.740065651,0.02987977,0.0,45,0.5,7,576.8
23,0.0,0.0,0.192158054,0.0,0.74759462,0.060247326,0.0,45,0.5,7,576.8
24,0.0,0.0,0.353936311,0.0,0.61515193,0.030911759,0.0,45,0.5,7,567.8
25,0.0,0.0,0.162229513,0.0,0.764438835,0.073331651,0.0,45,0.5,7,531.8
26,0.0,0.0,0.124436464,0.0,0.779302952,0.096260584,0.0,45,0.5,7,536.3
27,0.0,0.0,0.153728621,0.0,0.751217895,0.095053485,0.0,45,0.5,7,590.4
28,0.0,0.0,0.353936311,0.0,0.61515193,0.030911759,0.0,60,0.5,7,348.9
29,0.0,0.0,0.298324899,0.0,0.659964611,0.04171049,0.0,60,0.5,7,580.4
30,0.0,0.0,0.162229513,0.0,0.764438835,0.073331651,0.0,60,0.5,7,438.9
31,0.0,0.0,0.124436464,0.0,0.779302952,0.096260584,0.0,60,0.5,7,368.2
32,0.0,0.0,0.153728621,0.0,0.751217895,0.095053485,0.0,60,0.5,7,548.2
33,0.0,0.0,0.214014765,0.0,0.690722763,0.095262472,0.0,60,0.5,7,503.2
34,0.0,0.0,0.115493441,0.0,0.745972956,0.138533603,0.0,60,0.5,7,561.1
35,0.0,0.0,0.229814379,0.0,0.619860869,0.150324753,0.0,60,0.5,7,561.1
36,0.0,0.0,0.15072627,0.0,0.817114,0.032159731,0.0,75,0.5,7,223.8
