ID,Al(at%),C(at%),Co(at%),Cr(at%),Cu(at%),Fe(at%),Mn(at%),Mo(at%),Nb(at%),Ni(at%),Ta(at%),Ti(at%),V(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,Processing_Description,YS(MPa),UTS(MPa),El(%)
1,0.68,0.0,5.16,25.75,0.0,3.27,0.0,1.27,0.0,59.11,0.0,0.13,0.0,4.63,1484,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1484K. First heat treatment was performed at 298K,417.0,837.0,47.3
2,0.0,0.0,30.0,10.0,0.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,1373,75.0,0,0.0,1223,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1223K for 1.0 hours,257.0,645.0,60.2
3,0.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,45.0,0.0,0.0,20.0,0.0,1373,75.0,0,0.0,1273,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 0.166666667 hours,352.0,790.0,64.2
4,9.83,0.0,18.96,15.86,0.0,0.1,0.0,2.94,0.0,50.82,0.0,1.48,0.0,0.0,1423,0.0,1333,960.0,1123,16.0,1023,600.0,Homogenization was performed at 1423K. Recrystallization was carried out at 1333K for 960.0 minutes. First heat treatment was performed at 1123K for 16.0 hours. Secondary heat treatment was conducted at 1023K for 600.0 hours,862.0,1040.0,37.4
5,16.4,0.0,16.4,16.4,0.0,16.4,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,298,50.0,0,0.0,298,0.0,973,12.0,Homogenization was performed at 298K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 973K for 12.0 hours,1110.0,1340.0,10.0
6,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,270.0,630.0,60.5
7,3.6,0.0,27.3,18.2,0.0,18.2,0.0,0.0,0.0,27.3,0.0,5.4,0.0,0.0,1423,60.0,0,0.0,298,0.0,1023,50.0,Homogenization was performed at 1423K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 1023K for 50.0 hours,1150.0,1380.0,15.0
8,0.21,0.0,2.87,27.1,0.0,33.31,0.0,0.59,0.0,35.53,0.0,0.24,0.0,0.15,1323,30.0,1450,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1450K for 6.0 minutes. First heat treatment was performed at 298K,352.0,758.0,43.0
9,0.68,0.0,5.16,25.75,0.0,3.27,0.0,1.27,0.0,59.11,0.0,0.13,0.0,4.63,1473,10.0,1505,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 10.0% reduction. Recrystallization was carried out at 1505K for 6.0 minutes. First heat treatment was performed at 298K,359.0,862.0,47.0
10,0.21,0.0,2.87,27.1,0.0,33.31,0.0,0.59,0.0,35.53,0.0,0.24,0.0,0.15,1323,30.0,1339,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1339K for 6.0 minutes. First heat treatment was performed at 298K,414.0,793.0,38.0
11,0.0,0.0,33.33,0.0,0.0,33.34,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0,70.0,0,0.0,1173,1.0,0,0.0,followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,199.0,495.0,55.0
12,13.04,0.0,21.74,21.74,0.0,21.74,0.0,0.0,0.0,21.74,0.0,0.0,0.0,0.0,1373,30.0,0,0.0,1173,0.03333,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 30.0% reduction. First heat treatment was performed at 1173K for 0.03333 hours,906.0,1085.0,10.3
13,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1173,6.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 6.0 hours,249.0,621.0,47.0
14,9.09,0.0,18.182,18.182,18.182,18.182,0.0,0.0,0.0,18.182,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1173,5.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 5.0 hours,608.0,749.0,28.1
15,0.0,0.0,10.0,10.0,0.0,45.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,0.0,1373,0.0,0,0.0,1173,10.0,0,0.0,Homogenization was performed at 1373K. First heat treatment was performed at 1173K for 10.0 hours,339.0,684.0,47.0
16,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1273,85.0,0,0.0,973,1.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 85.0% reduction. First heat treatment was performed at 973K for 1.0 hours,1029.0,1186.0,11.2
17,11.2,0.0,22.2,22.2,0.0,22.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,298,70.0,0,0.0,1473,1.0,923,4.0,Homogenization was performed at 298K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1473K for 1.0 hours. Secondary heat treatment was conducted at 923K for 4.0 hours,770.0,1030.0,28.0
18,0.0,0.0,30.0,10.0,0.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours,348.0,714.0,62.0
19,0.0,0.0,5.0,2.0,0.0,40.0,27.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1473,64.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 64.0% reduction,720.0,760.0,17.0
20,0.0,0.0,10.0,0.0,20.0,0.0,30.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1173,75.0,0,0.0,1023,0.166666667,0,0.0,Homogenization was performed at 1173K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1023K for 0.166666667 hours,339.0,713.0,50.5
21,0.0,0.0,30.3,39.4,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,1073,6.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1073K for 6.0 hours,793.0,1003.0,15.5
22,0.0,0.0,41.63,26.62,0.0,3.38,0.0,0.0,0.0,23.58,0.0,0.0,0.0,4.79,1473,20.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 20.0% reduction. First heat treatment was performed at 298K,917.0,1145.0,28.0
23,0.7,0.0,0.0,26.64,0.0,1.38,0.0,0.85,0.0,65.64,0.0,0.0,0.0,4.8,1423,0.0,0,0.0,298,0.0,1093,4900.0,Homogenization was performed at 1423K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 1093K for 4900.0 hours,401.5,807.5,14.5
24,0.0,0.0,33.33,33.34,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,0.25,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 0.25 hours,1309.0,1489.0,9.8
25,7.42,1.1,0.0,5.93,0.0,39.96,34.42,0.0,0.0,11.17,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1423,24.0,0,0.0,First heat treatment was performed at 1423K for 24.0 hours,146.0,322.0,33.0
26,7.0,0.0,23.33,23.33,0.0,23.33,0.0,0.0,0.0,23.01,0.0,0.0,0.0,0.0,298,0.0,0,0.0,298,0.0,973,72.0,Homogenization was performed at 298K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 973K for 72.0 hours,305.0,525.0,44.0
27,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,873,6.0,923,100.0,Homogenization was performed at 1423K. First heat treatment was performed at 873K for 6.0 hours. Secondary heat treatment was conducted at 923K for 100.0 hours,815.0,1263.0,21.0
28,0.0,1.0,17.5,12.5,0.0,55.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,78.6,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 78.6% reduction. First heat treatment was performed at 1173K for 1.0 hours,612.0,1034.0,49.1
29,0.54,0.0,1.99,18.02,0.0,3.15,0.0,9.15,0.0,66.84,0.0,0.0,0.0,0.32,1339,0.0,0,0.0,298,0.0,811,4000.0,Homogenization was performed at 1339K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 811K for 4000.0 hours,741.0,1253.0,41.0
30,0.0,0.0,34.0,20.0,0.0,6.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,440.0,960.0,63.0
31,0.68,0.0,5.16,25.75,0.0,3.27,0.0,1.27,0.0,59.11,0.0,0.13,0.0,4.63,1473,20.0,1450,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 20.0% reduction. Recrystallization was carried out at 1450K for 6.0 minutes. First heat treatment was performed at 298K,441.0,924.0,40.0
32,0.0,1.0,19.8,19.8,0.0,19.8,19.8,0.0,0.0,19.8,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1373,0.5,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1373K for 0.5 hours,380.0,810.0,66.0
33,1.12,0.0,1.02,20.88,0.0,20.52,0.0,1.89,0.0,53.44,0.0,1.13,0.0,0.0,1260,0.0,0,0.0,991,8.0,894,8.0,Homogenization was performed at 1260K. First heat treatment was performed at 991K for 8.0 hours. Secondary heat treatment was conducted at 894K for 8.0 hours,1205.0,1404.0,18.4
34,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K,176.0,453.0,68.8
35,1.41,0.0,0.16,20.48,0.0,19.01,0.0,1.82,3.1,52.94,0.0,1.08,0.0,0.0,1353,0.0,0,0.0,993,8.0,893,8.0,Homogenization was performed at 1353K. First heat treatment was performed at 993K for 8.0 hours. Secondary heat treatment was conducted at 893K for 8.0 hours,1248.0,1457.0,22.0
36,0.0,0.0,30.0,25.0,0.0,20.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,1473,40.0,0,0.0,1273,0.1,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 40.0% reduction. First heat treatment was performed at 1273K for 0.1 hours,403.0,861.0,87.8
37,0.0,0.8,19.84,19.84,0.0,19.84,19.84,0.0,0.0,19.84,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K,227.0,525.0,45.5
38,0.0,0.0,33.3333,33.3333,0.0,0.0,0.0,0.0,0.0,33.3333,0.0,0.0,0.0,0.0,1373,78.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 78.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,601.0,992.0,64.0
39,0.88,0.0,1.01,23.99,0.0,5.32,0.0,5.57,0.0,62.74,0.0,0.5,0.0,0.0,1323,30.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,400.0,876.0,52.0
40,0.0,0.0,32.33,32.34,0.0,0.0,0.0,3.0,0.0,32.33,0.0,0.0,0.0,0.0,1473,66.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 66.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,475.0,983.0,69.0
41,7.5,0.0,0.0,0.0,30.833,30.834,30.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073,86.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1073K. followed by cold rolling to 86.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,539.0,690.0,29.0
42,0.0,0.0,12.5,12.5,0.0,50.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1273,90.0,0,0.0,873,0.05,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 873K for 0.05 hours,1140.0,1131.0,14.0
43,0.0,0.0,20.0,26.0,0.0,20.0,20.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,1373,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1373K for 1.0 hours,212.0,623.0,73.3
44,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,33.34,0.0,0.0,0.0,0.0,1373,88.0,0,0.0,1173,2.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 88.0% reduction. First heat treatment was performed at 1173K for 2.0 hours,320.0,770.0,74.0
45,0.0,1.36,20.06,20.14,0.0,19.42,19.27,0.0,0.0,19.75,0.0,0.0,0.0,0.0,1493,95.0,0,0.0,973,1.0,0,0.0,Homogenization was performed at 1493K. followed by cold rolling to 95.0% reduction. First heat treatment was performed at 973K for 1.0 hours,1040.0,1112.0,12.0
46,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,298,0.0,923,100.0,Homogenization was performed at 1423K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 923K for 100.0 hours,696.0,1376.0,36.5
47,16.4,0.0,16.4,16.4,0.0,16.4,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,298,90.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 298K,1700.0,1800.0,6.0
48,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,298,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. First heat treatment was performed at 298K,395.0,400.0,1.0
49,11.2,0.0,22.2,22.2,0.0,22.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,298,70.0,0,0.0,1473,1.0,923,140.0,Homogenization was performed at 298K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1473K for 1.0 hours. Secondary heat treatment was conducted at 923K for 140.0 hours,1000.0,1280.0,27.0
50,5.27,0.0,18.82,17.95,0.0,19.47,20.12,0.0,0.0,18.37,0.0,0.0,0.0,0.0,1423,96.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 96.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,390.0,694.0,29.7
51,0.0,1.36,20.06,20.14,0.0,19.42,19.27,0.0,0.0,19.75,0.0,0.0,0.0,0.0,1493,95.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1493K. followed by cold rolling to 95.0% reduction,1520.0,1520.0,4.0
52,5.3,0.0,21.0,21.1,0.0,26.3,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,298,40.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. followed by cold rolling to 40.0% reduction. First heat treatment was performed at 298K,560.0,590.0,7.0
53,5.2,0.0,13.85,17.42,0.0,0.2,0.0,1.69,0.0,55.84,0.0,5.8,0.0,0.0,298,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. First heat treatment was performed at 298K,1177.0,1582.0,22.2
54,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0,33.333,0.0,0.0,0.0,0.0,1373,90.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,220.0,600.0,30.0
55,0.0,0.0,41.63,26.62,0.0,3.38,0.0,0.0,0.0,23.58,0.0,0.0,0.0,4.79,1473,10.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 10.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,448.0,986.0,50.0
56,5.2,0.0,13.85,17.42,0.0,0.2,0.0,1.69,0.0,55.84,0.0,5.8,0.0,0.0,1433,0.0,0,0.0,298,0.0,923,24.0,Homogenization was performed at 1433K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 923K for 24.0 hours,792.0,1321.0,20.7
57,3.0,0.0,32.33,32.34,0.0,0.0,0.0,0.0,0.0,32.33,0.0,0.0,0.0,0.0,1373,88.0,0,0.0,1173,2.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 88.0% reduction. First heat treatment was performed at 1173K for 2.0 hours,342.0,790.0,69.0
58,16.39,0.0,16.39,16.39,0.0,16.39,0.0,0.0,0.0,34.44,0.0,0.0,0.0,0.0,0,90.0,0,0.0,1473,1.0,0,0.0,followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1473K for 1.0 hours,648.0,1075.0,27.0
59,15.0,0.0,0.0,0.0,28.334,28.333,28.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073,86.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1073K. followed by cold rolling to 86.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,642.0,941.0,37.0
60,0.0,0.0,33.33,33.34,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,305.0,795.0,89.5
61,0.0,0.0,17.5,12.5,0.0,55.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,1523,79.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1523K. followed by cold rolling to 79.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,301.0,718.0,77.5
62,0.0,0.0,31.67,31.67,0.0,0.0,0.0,0.0,0.0,31.67,0.0,0.0,4.99,0.0,1473,0.0,0,0.0,973,1.0,0,0.0,Homogenization was performed at 1473K. First heat treatment was performed at 973K for 1.0 hours,449.1,881.3,64.4
63,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,873,6.0,923,200.0,Homogenization was performed at 1423K. First heat treatment was performed at 873K for 6.0 hours. Secondary heat treatment was conducted at 923K for 200.0 hours,803.0,1310.0,26.4
64,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,873,6.0,1123,500.0,Homogenization was performed at 1423K. First heat treatment was performed at 873K for 6.0 hours. Secondary heat treatment was conducted at 1123K for 500.0 hours,541.0,1081.0,21.4
65,0.0,0.0,32.0,32.0,0.0,0.0,0.0,4.0,0.0,32.0,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,973,4.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 973K for 4.0 hours,775.0,1205.0,35.0
66,0.0,0.0,35.0,25.0,0.0,10.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1473,40.0,0,0.0,1273,0.1,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 40.0% reduction. First heat treatment was performed at 1273K for 0.1 hours,305.0,806.0,76.0
67,0.0,0.0,41.63,26.62,0.0,3.38,0.0,0.0,0.0,23.58,0.0,0.0,0.0,4.79,1473,20.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 20.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,490.0,1027.0,47.0
68,0.0,0.0,35.0,15.0,0.0,20.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K,350.0,720.0,21.9
