ID,Al(wt%),As(wt%),B(wt%),Bi(wt%),C(wt%),Ca(wt%),Ce(wt%),Cl(wt%),Co(wt%),Cr(wt%),Cu(wt%),F(wt%),Fe(wt%),H(wt%),La(wt%),Mg(wt%),Mn(wt%),Mo(wt%),N(wt%),Na(wt%),Nb(wt%),Ni(wt%),O(wt%),P(wt%),Pb(wt%),S(wt%),Sb(wt%),Si(wt%),Sn(wt%),Ta(wt%),Ti(wt%),V(wt%),W(wt%),Y(wt%),Zn(wt%),Zr(wt%),Processing_Description,YS(MPa),UTS(MPa),El(%)
1,0.1,0,0.0,0,0.03,0,0,0,9.0,0.0,0.0,0,67.2,0,0,0,0.1,5.0,0.0,0,0.0,18.0,0.0,0.0,0,0.0,0,0.1,0,0,0.7,0.0,0.0,0,0,0,"The initial total thickness of the multilayer steel was about 30 mm with individual layer of about 0.5 mm. Firstly, TWIP and C300 maraging steels were initially cut into thin sheets with the diameter of 60 mm and the thickness of 0.5 mm. Secondly, the surface rusts of steels were polished by abrasive papers, and then staked, welded and vacuum pumped to keep the multilayer steels inside the blank with a vacuum degree of 10-2 Pa, the schematic diagram is shown in Fig. 2 a)-2c). Thirdly, the billet was heated at 1200oC with holding time of 40min and then hot rolled to a final thickness of 6 mm with a total reduction of 80%.",843.0,1055.0,20.0
2,0.1,0,0.0,0,0.03,0,0,0,9.0,0.0,0.0,0,67.2,0,0,0,0.1,5.0,0.0,0,0.0,18.0,0.0,0.0,0,0.0,0,0.1,0,0,0.7,0.0,0.0,0,0,0,"The initial total thickness of the multilayer steel was about 30 mm with individual layer of about 0.5 mm. Firstly, TWIP and C300 maraging steels were initially cut into thin sheets with the diameter of 60 mm and the thickness of 0.5 mm. Secondly, the surface rusts of steels were polished by abrasive papers, and then staked, welded and vacuum pumped to keep the multilayer steels inside the blank with a vacuum degree of 10-2 Pa, the schematic diagram is shown in Fig. 2 a)-2c). Thirdly, the billet was heated at 1200oC with holding time of 40min and then hot rolled to a final thickness of 6 mm with a total reduction of 80%. The hot rolled multilayer TWIP/maraging steel was marked as HR steel, and the HR steel was aged at 485°C for 4 h, followed by air cooling, labeled as HR-A steel.",1972.0,2060.0,12.0
3,2.88,0,0.0,0,0.0046,0,0,0,0.0,0.0,0.0,0,62.79,0,0,0,31.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2.83,0,0,0.0,0.0,0.0,0,0,0,"Firstly, TWIP and C300 maraging steels were initially cut into thin sheets with the diameter of 60 mm and the thickness of 0.5 mm. Secondly, the surface rusts of steels were polished by abrasive papers, and then staked, welded and vacuum pumped to keep the multilayer steels inside the blank with a vacuum degree of 10-2 Pa, the schematic diagram is shown in Fig. 2 a)-2c). Thirdly, the billet was heated at 1200°C with holding time of 40min and then hot rolled to a final thickness of 6 mm with a total reduction of 80%. The hot rolled multilayer TWIP/maraging steel was marked as HR steel, and the HR steel was aged at 485oC for 4 h, followed by air cooling, labeled as HR-A steel. In order to improve interface bonding strength and tensile strength, the HR steels were cold rolled to a thickness of 3 mm with a total reduction of 62.5%, respectively, compared with HR steels, denoted as HR-CR3 steel.",774.0,927.0,27.5
4,2.88,0,0.0,0,0.0046,0,0,0,0.0,0.0,0.0,0,62.79,0,0,0,31.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2.83,0,0,0.0,0.0,0.0,0,0,0,"Firstly, TWIP and C300 maraging steels were initially cut into thin sheets with the diameter of 60 mm and the thickness of 0.5 mm. Secondly, the surface rusts of steels were polished by abrasive papers, and then staked, welded and vacuum pumped to keep the multilayer steels inside the blank with a vacuum degree of 10-2 Pa, the schematic diagram is shown in Fig. 2 a)-2c). Thirdly, the billet was heated at 1200°C with holding time of 40min and then hot rolled to a final thickness of 6 mm with a total reduction of 80%. The hot rolled multilayer TWIP/maraging steel was marked as HR steel, and the HR steel was aged at 485oC for 4 h, followed by air cooling, labeled as HR-A steel. In order to improve interface bonding strength and tensile strength, the HR steels were cold rolled to a thickness of 0.8 mm with a total reduction of 90%, respectively, compared with HR steels, denoted as HR-CR0.8 steel.",1075.0,1250.0,10.0
5,2.88,0,0.0,0,0.0046,0,0,0,0.0,0.0,0.0,0,62.79,0,0,0,31.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2.83,0,0,0.0,0.0,0.0,0,0,0,"Firstly, TWIP and C300 maraging steels were initially cut into thin sheets with the diameter of 60 mm and the thickness of 0.5 mm. Secondly, the surface rusts of steels were polished by abrasive papers, and then staked, welded and vacuum pumped to keep the multilayer steels inside the blank with a vacuum degree of 10-2 Pa, the schematic diagram is shown in Fig. 2 a)-2c). Thirdly, the billet was heated at 1200°C with holding time of 40min and then hot rolled to a final thickness of 6 mm with a total reduction of 80%. The hot rolled multilayer TWIP/maraging steel was marked as HR steel, and the HR steel was aged at 485oC for 4 h, followed by air cooling, labeled as HR-A steel. In order to improve interface bonding strength and tensile strength, the HR steels were cold rolled to a thickness of 3 mm and 0.8 mm with a total reduction of 62.5% and 90%, respectively, compared with HR steels, denoted as HR-CR3 steel and HR-CR0.8 steel; the HR-A steels were cold rolled to a thickness of 4.2 mm, labeled as HR-A-CR4.2 steel. Finally, HR-CR steel was subjected to the same ageing treatment and labeled as HR-CR-A3 and HR-CR-A0.8 steel.",1275.0,1527.0,21.5
6,2.88,0,0.0,0,0.0046,0,0,0,0.0,0.0,0.0,0,62.79,0,0,0,31.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2.83,0,0,0.0,0.0,0.0,0,0,0,"Firstly, TWIP and C300 maraging steels were initially cut into thin sheets with the diameter of 60 mm and the thickness of 0.5 mm. Secondly, the surface rusts of steels were polished by abrasive papers, and then staked, welded and vacuum pumped to keep the multilayer steels inside the blank with a vacuum degree of 10-2 Pa, the schematic diagram is shown in Fig. 2 a)-2c). Thirdly, the billet was heated at 1200°C with holding time of 40min and then hot rolled to a final thickness of 6 mm with a total reduction of 80%. The hot rolled multilayer TWIP/maraging steel was marked as HR steel, and the HR steel was aged at 485oC for 4 h, followed by air cooling, labeled as HR-A steel. In order to improve interface bonding strength and tensile strength, the HR steels were cold rolled to a thickness of 3 mm and 0.8 mm with a total reduction of 62.5% and 90%, respectively, compared with HR steels, denoted as HR-CR3 steel and HR-CR0.8 steel; the HR-A steels were cold rolled to a thickness of 2.4 mm, labeled as HR-A-CR2.4 steel. Finally, HR-CR steel was subjected to the same ageing treatment and labeled as HR-CR-A3 and HR-CR-A0.9 steel.",1409.0,1650.0,8.0
7,0.02,0,0.0,0,0.075,0,0,0,0.0,0.0,0.0,0,98.3221,0,0,0,1.27,0.0,0.004,0,0.016,0.0,0.0,0.0101,0,0.0028,0,0.26,0,0,0.02,0.0,0.0,0,0,0,"Pre-fast cooling rate (°C/s) 115 Pre-fast cooling temperature (°C) 710 Post-fast cooling rate (°C/s) 93 Post-cooling temperature (°C) 550. The continuously cast plates were reheated to 1200°C for 2h in a box type resistance furnace, hot rolled to 11mm thickness using a two-high 450mm hot rolling mill and air-cooled to room temperature. Cylindrical specimens of diameter 6mm and 15mm long were machined from the hot rolled plate to conduct TMCP experiments in a Gleeble 3800 thermo-mechanical simulator. The specimens were reheated to 1200°C for 180s to ensure complete austenitization and cooled to 850°C at a cooling rate of 10°C/s. After holding for 20s to eliminate the temperature gradient, the specimens were subjected to 50% compressive strain at a strain rate of 3s-1, followed by cooling to room temperature at cooling rates of 0.5, 1, 2, 5, 10, 20 and 40°C/s, respectively. The plates of 60 mm thickness were reheated to 1200 °C for 2 h and hot rolled to 5 mm thickness using the two-high Ф450 mm experimental hot rolling mill equipped with ultrafast cooling (UFC) system developed in our laboratory. The hot rolling process was accomplished with reduction ratio of ~68% in the recrystallization region and ~75% in the non-recrystallization region. The finish rolling temperature was 840 °C. After hot rolling, the strips were subjected to pre-fast cooling stage, air cooling stage, and post-fast cooling stage on the run-out table, and then placed in the coil box to simulate the industrial coiling process.",455.0,519.0,35.0
8,0.02,0,0.0,0,0.075,0,0,0,0.0,0.0,0.0,0,98.3221,0,0,0,1.27,0.0,0.004,0,0.016,0.0,0.0,0.0101,0,0.0028,0,0.26,0,0,0.02,0.0,0.0,0,0,0,"Pre-fast cooling rate (°C/s)  Pre-fast cooling temperature (°C) 710 Post-fast cooling rate (°C/s) 117 Post-cooling temperature (°C) 400. The continuously cast plates were reheated to 1200°C for 2h in a box type resistance furnace, hot rolled to 11mm thickness using a two-high 450mm hot rolling mill and air-cooled to room temperature. Cylindrical specimens of diameter 6mm and 15mm long were machined from the hot rolled plate to conduct TMCP experiments in a Gleeble 3800 thermo-mechanical simulator. The specimens were reheated to 1200°C for 180s to ensure complete austenitization and cooled to 850°C at a cooling rate of 10°C/s. After holding for 20s to eliminate the temperature gradient, the specimens were subjected to 50% compressive strain at a strain rate of 3s-1, followed by cooling to room temperature at cooling rates of 0.5, 1, 2, 5, 10, 20 and 40°C/s, respectively. The plates of 60 mm thickness were reheated to 1200 °C for 2 h and hot rolled to 5 mm thickness using the two-high Ф450 mm experimental hot rolling mill equipped with ultrafast cooling (UFC) system developed in our laboratory. The hot rolling process was accomplished with reduction ratio of ~68% in the recrystallization region and ~75% in the non-recrystallization region. The finish rolling temperature was 840 °C. After hot rolling, the strips were subjected to pre-fast cooling stage, air cooling stage, and post-fast cooling stage on the run-out table, and then placed in the coil box to simulate the industrial coiling process.",409.0,564.0,30.0
9,0.02,0,0.0,0,0.075,0,0,0,0.0,0.0,0.0,0,98.3221,0,0,0,1.27,0.0,0.004,0,0.016,0.0,0.0,0.0101,0,0.0028,0,0.26,0,0,0.02,0.0,0.0,0,0,0,"Pre-fast cooling rate (°C/s)  Pre-fast cooling temperature (°C) 710 Post-fast cooling rate (°C/s) 155 Post-cooling temperature (°C) 200. The continuously cast plates were reheated to 1200°C for 2h in a box type resistance furnace, hot rolled to 11mm thickness using a two-high 450mm hot rolling mill and air-cooled to room temperature. Cylindrical specimens of diameter 6mm and 15mm long were machined from the hot rolled plate to conduct TMCP experiments in a Gleeble 3800 thermo-mechanical simulator. The specimens were reheated to 1200°C for 180s to ensure complete austenitization and cooled to 850°C at a cooling rate of 10°C/s. After holding for 20s to eliminate the temperature gradient, the specimens were subjected to 50% compressive strain at a strain rate of 3s-1, followed by cooling to room temperature at cooling rates of 0.5, 1, 2, 5, 10, 20 and 40°C/s, respectively. The plates of 60 mm thickness were reheated to 1200 °C for 2 h and hot rolled to 5 mm thickness using the two-high Ф450 mm experimental hot rolling mill equipped with ultrafast cooling (UFC) system developed in our laboratory. The hot rolling process was accomplished with reduction ratio of ~68% in the recrystallization region and ~75% in the non-recrystallization region. The finish rolling temperature was 840 °C. After hot rolling, the strips were subjected to pre-fast cooling stage, air cooling stage, and post-fast cooling stage on the run-out table, and then placed in the coil box to simulate the industrial coiling process.",368.0,684.0,26.0
10,0.02,0,0.0,0,0.075,0,0,0,0.0,0.0,0.0,0,98.3221,0,0,0,1.27,0.0,0.004,0,0.016,0.0,0.0,0.0101,0,0.0028,0,0.26,0,0,0.02,0.0,0.0,0,0,0,"Pre-fast cooling rate (°C/s) 140 Pre-fast cooling temperature (°C) 630 Post-fast cooling rate (°C/s) 192 Post-cooling temperature (°C) 200. The continuously cast plates were reheated to 1200°C for 2h in a box type resistance furnace, hot rolled to 11mm thickness using a two-high 450mm hot rolling mill and air-cooled to room temperature. Cylindrical specimens of diameter 6mm and 15mm long were machined from the hot rolled plate to conduct TMCP experiments in a Gleeble 3800 thermo-mechanical simulator. The specimens were reheated to 1200°C for 180s to ensure complete austenitization and cooled to 850°C at a cooling rate of 10°C/s. After holding for 20s to eliminate the temperature gradient, the specimens were subjected to 50% compressive strain at a strain rate of 3s-1, followed by cooling to room temperature at cooling rates of 0.5, 1, 2, 5, 10, 20 and 40°C/s, respectively. The plates of 60 mm thickness were reheated to 1200 °C for 2 h and hot rolled to 5 mm thickness using the two-high Ф450 mm experimental hot rolling mill equipped with ultrafast cooling (UFC) system developed in our laboratory. The hot rolling process was accomplished with reduction ratio of ~68% in the recrystallization region and ~75% in the non-recrystallization region. The finish rolling temperature was 840 °C. After hot rolling, the strips were subjected to pre-fast cooling stage, air cooling stage, and post-fast cooling stage on the run-out table, and then placed in the coil box to simulate the industrial coiling process.",389.0,648.0,23.0
