ID,Al(wt%),Cr(wt%),Fe(wt%),Mo(wt%),Nb(wt%),Sn(wt%),Ti(wt%),V(wt%),Zr(wt%),Solution Temperature(℃),Solution Time(h),Aging Temperature(℃),Aging Time(h),Thermo-Mechanical Treatment Temperature(℃),Deformation(%),Processing_Description,UTS(MPa),El(%)
1,0.0,0.0,0.0,3.16,6.2700000000000005,3.1300000000000003,81.17,0.0,6.2700000000000005,0,0.0,0,0.0,20,0.0,No processing,715.0,7.6
2,0.0,0.0,0.0,2.96,11.8,2.95,76.38000000000001,0.0,5.91,0,0.0,0,0.0,20,0.0,No processing,519.0,6.4
3,0.0,0.0,0.0,2.96,8.85,2.93,79.36,0.0,5.9,0,0.0,0,0.0,20,0.0,No processing,701.0,13.6
4,0.0,0.0,0.0,2.95,5.9,2.95,82.3,0.0,5.9,0,0.0,0,0.0,20,0.0,No processing,715.0,12.5
5,0.0,0.0,0.0,2.94,5.9,2.94,85.25,0.0,2.97,0,0.0,0,0.0,20,0.0,No processing,762.0,13.8
6,0.0,0.0,0.0,3.16,9.36,3.1300000000000003,81.22,0.0,3.1300000000000003,0,0.0,0,0.0,20,0.0,No processing,692.0,14.2
7,0.0,0.0,0.0,0.0,22.36,2.0,75.64,0.0,0.0,950,2.0,0,0.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours followed by water quenching. the second heat treatment is Cold rolling at 20℃ with 89.0% reduction,680.0,13.62
8,0.0,0.0,0.0,0.0,22.36,2.0,75.64,0.0,0.0,950,2.0,250,2.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Aging at 250.0℃ for 2.0 hours. the third heat treatment is Cold rolling at 20℃ with 89.0% reduction,830.0,6.5
9,0.0,0.0,0.0,0.0,22.36,2.0,75.64,0.0,0.0,950,2.0,300,2.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Aging at 300.0℃ for 2.0 hours. the third heat treatment is Cold rolling at 20℃ with 89.0% reduction,1000.0,8.95
10,0.0,0.0,0.0,0.0,23.02,4.07,72.91,0.0,0.0,950,2.0,0,0.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Cold rolling at 20℃ with 89.0% reduction,600.0,13.59
11,0.0,0.0,0.0,0.0,23.02,4.07,72.91,0.0,0.0,950,2.0,250,2.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Aging at 250.0℃ for 2.0 hours. the third heat treatment is Cold rolling at 20℃ with 89.0% reduction,670.0,15.05
